departure_city,arrival_city,transport_type,vehicle_type,company_name,price,weight,created_at,valid_until,cbm,ldm,length,height,width,notes
Cerkezkoy,Aichtal,OOG,Flatbed,SM Nakliyat,5000,,01/01/2024,31/12/2025,,,,,,
Cerkezkoy,Aichtal,OOG,Lowbed,SM Nakliyat,7100,,01/01/2024,31/08/2025,,,,,,
